"author_id","indexed_name","surname","given_name","gender","affiliation_current","citation_count","cited_by_count","coauthor_count","document_count","authorEC_doc_CS_2018","author_doc_CS_all_2018","author_doc_CS_all","publication_range","hindex","address","affiliation_name","department_id","department_name","author_count","city","country","date_created","affil_document_count","org_URL","org_domain","org_type","postal_code","search_link","sort_name","state","category"
57195837133,"Amaya J.","Amaya","Jorge Luis","M",60072061,46,46,34,15,1,1,2,"2014-2019",2,"Malecon 100 y Loja","Escuela Superior Politecnica del Litoral Ecuador",,,1054,"Guayaquil","Ecuador","2/2/2008",1618,"http://www.espol.edu.ec/","espol.edu.ec","resi",,"https://api.elsevier.com/content/search/scopus?query=af-id%2860072061%29","Escuela Superior Politecnica del Litoral Ecuador","Guayas","national"
57196057526,"Amaya J.","Amaya","Jorge","M",60072035,1,1,7,3,1,1,1,"2017-2019",1,"Av. 12 de Abril s/n Ciudadela Universitaria","University of Cuenca",119320341,"Faculty of Architecture and Urbanism",0,"Cuenca","Ecuador","26/9/2017",0,"http://rai.ucuenca.edu.ec/","rai.ucuenca.edu.ec",,,"https://api.elsevier.com/content/search/scopus?query=af-id%28119320341%29","Faculty of Architecture and Urbanism",,"national"
57204707849,"Amaya M.","Amaya","Manuel","M",60003662,0,0,6,2,1,1,1,"2018-2019",0,"Avenida Cervantes 2","Universidad de Malaga",103235147,"Department of Computer Languages and Computer Science",0,"Malaga","Spain","2/2/2008",0,"http://www.uma.es/","uma.es",,29071,"https://api.elsevier.com/content/search/scopus?query=af-id%28103235147%29","Department of Computer Languages and Computer Science","Malaga","externalN"
7004190878,"Amaya-Fernández F.","Amaya-Fernández","Ferney",,60046690,48,48,52,37,3,24,24,"2003-2018",3,"Circular 1. No. 70-01","Universidad Pontificia Bolivariana",,,1951,"Medellin","Colombia","2/2/2008",2882,"http://www.upb.edu.co/portal/page?_pageid=55,1&_dad=portal&_schema=PORTAL","upb.edu.co","univ",56006,"https://api.elsevier.com/content/search/scopus?query=af-id%2860046690%29","Pontificia Bolivariana, Universidad","Antioquia","externalN"
35279317000,"Ambelu A.","Ambelu","Argaw",,60071196,481,414,116,54,1,3,3,"1999-2019",10,"P.O.Box: 378","Jimma University",105268503,"Department of Environmental Health Sciences and Technology",0,"Jimma","Ethiopia","2/2/2008",0,"http://www.ju.edu.et/","ju.edu.et",,,"https://api.elsevier.com/content/search/scopus?query=af-id%28105268503%29",,,"externalN"
7005604459,"Amendola G.","Amendola","Giandomenico",,60020261,1111,843,125,136,1,43,47,"1991-2019",18,"Arcavacata di Rende","Università della Calabria",,,3719,"Cosenza","Italy","2/2/2008",28267,"http://www.unical.it","unical.it","univ",87036,"https://api.elsevier.com/content/search/scopus?query=af-id%2860020261%29","Calabria, University of","CS","externalN"
7004988683,"Ames M.","Ames","Morgan G.","M",123724266,1675,1533,48,27,1,25,25,"2003-2018",15,,,,,,,,,,,,,,,,,"externalN"
56167524400,"Amirgaliyev Y.","Amirgaliyev","Yedilkhan Nesipkhanovich",,60109473,145,109,168,64,1,28,41,"1985-2019",7,,"Al Farabi Kazakh National University, Institute of Information and Computer Technologies",,,94,"Almaty","Kazakhstan","28/9/2017",163,"http://kaznu.kz/en/15278/page",,"coll",,"https://api.elsevier.com/content/search/scopus?query=af-id%2860109473%29","Al Farabi Kazakh National University, Institute of Information and Computer Technologies","Almaty","externalN"
57192010173,"Amor C.","Amor","Carlos Iván Martín","M",60027800,3,3,4,1,1,1,1,"2016-2016",1,"Pza. San Diego, s/n","Universidad de Alcala",,,5636,"Alcala de Henares","Spain","2/2/2008",21320,"https://www.uah.es/en/","uah.es","univ",28801,"https://api.elsevier.com/content/search/scopus?query=af-id%2860027800%29","Alcala, Universidad de","Madrid","externalN"
57200724431,"Amores Guevara P.","Amores Guevara","Patricia Del Roció","F",60106645,4,4,11,2,1,1,1,"2017-2018",1,,"Universidad Técnica de Ambato",116972009,"Facultad de Ciencias Humanas y de la Educación",0,"Ambato","Ecuador","8/7/2016",0,"http://www.uta.edu.ec/v2.0/",,,,"https://api.elsevier.com/content/search/scopus?query=af-id%28116972009%29","Facultad de Ciencias Humanas y de la Educación",,"national"
57205596899,"Amores L.","Amores","Luis Freire","M",60108339,1,1,3,1,1,1,1,"2018-2018",1,"Calle Rumipamba s/n entre Bourgeois y Atahualpa","Universidad UTE",118283018,"Facultad de Arquitectura y Urbanismo",0,"Quito","Ecuador","3/4/2017",0,"https://www.ute.edu.ec/","ute.edu.ec",,,"https://api.elsevier.com/content/search/scopus?query=af-id%28118283018%29",,"Pichincha","nationalP"
57201684373,"Ana L.","Zeas","Ana","F",120560718,1,1,3,1,1,1,1,"2018-2018",1,"El Hogar de Los Abuelos, Accion Social Municipal, Municipalidad de Cuenca","Centro Gerontológico Diurno",,,2,"Cuenca","Ecuador","26/4/2018",2,,,,,"https://api.elsevier.com/content/search/scopus?query=af-id%28120560718%29","Centro Gerontológico Diurno",,"national"
57205600389,"Anasi C.","Anasi","Christian","M",60072054,0,0,5,1,1,1,1,"2018-2018",0,"Campus Politecnico Ruben Orellana / Ladron de Guevara E11-253, ","Escuela Politécnica Nacional",115609436,"Department of Telecommunications and Information Networks",0,"Quito","Ecuador","2/9/2015",0,"https://www.epn.edu.ec/","epn.edu.ec",,170517,"https://api.elsevier.com/content/search/scopus?query=af-id%28115609436%29",,"Ecuador","nationalP"
