"id_paper","YEAR","citedby_count","doctype","source_id","author_id","gender","orden","affil_id","affiliation_name","country_affil","affil_author_count","affil_document_count","org_type"
"2-s2.0-85049934116",2018,1,"Conference Paper","s25674","9-s2.0-57195315784","F",3,"9-u2.0-60072042","Universidad de Guayaquil","Ecuador",942,821,"univ"
"2-s2.0-85049934116",2018,1,"Conference Paper","s25674","9-s2.0-57201580608","M",4,"9-u2.0-60105694","Universidad Estatal Península de Santa Elena","Ecuador",189,202,"univ"
"2-s2.0-85047896817",2018,3,"Conference Paper","s21100218356","9-s2.0-57202337244","M",3,"9-u2.0-60108706","Universidad del Azuay","Ecuador",216,240,"univ"
"2-s2.0-85047896817",2018,3,"Conference Paper","s21100218356","9-s2.0-57197836159","M",4,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85040243116",2018,0,"Conference Paper","s17700155007","9-s2.0-57200216309","M",3,"9-u2.0-60109555","Universidad Católica de Cuenca","Ecuador",271,228,"univ"
"2-s2.0-85040243116",2018,0,"Conference Paper","s17700155007","9-s2.0-57200211577","M",4,"9-u2.0-60110635","Universidad Técnica de Babahoyo","Ecuador",44,35,"univ"
"2-s2.0-85041069206",2018,3,"Conference Paper","s5100152904","9-s2.0-57195958937","M",3,"9-u2.0-60056189","Escola Superior de Tecnologia e Gestão de Leiria","Portugal",299,1111,"univ"
"2-s2.0-85041069206",2018,3,"Conference Paper","s5100152904","9-s2.0-57195958937","M",3,"9-u2.0-60072038","Universidad Central del Ecuador","Ecuador",696,949,"univ"
"2-s2.0-85041069206",2018,3,"Conference Paper","s5100152904","9-s2.0-57196235023","M",4,"9-u2.0-60072042","Universidad de Guayaquil","Ecuador",942,821,"univ"
"2-s2.0-85041083386",2018,0,"Conference Paper","s5100152904","9-s2.0-57200385898","M",3,"9-u2.0-113332469","Universidad Estatal del Sur de Manabí","Ecuador",38,39,NULL
"2-s2.0-85041083386",2018,0,"Conference Paper","s5100152904","9-s2.0-57200385493","F",4,"9-u2.0-60109555","Universidad Católica de Cuenca","Ecuador",271,228,"univ"
"2-s2.0-85047962792",2018,0,"Conference Paper","s21100862687","9-s2.0-57203052192","M",3,"9-u2.0-60106645","Universidad Técnica de Ambato","Ecuador",655,587,"univ"
"2-s2.0-85047962792",2018,0,"Conference Paper","s21100862687","9-s2.0-57202332135","F",4,"9-u2.0-60106645","Universidad Técnica de Ambato","Ecuador",655,587,"univ"
"2-s2.0-85050754122",2018,0,"Conference Paper","s21100870586","9-s2.0-57203152875","M",3,"9-u2.0-60108912","Universidad Técnica de Manabí","Ecuador",236,215,"univ"
"2-s2.0-85041019636",2018,1,"Conference Paper","s5100152904","9-s2.0-57195695143","M",3,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85041019636",2018,1,"Conference Paper","s5100152904","9-s2.0-57196247346","M",4,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
