"author_id","indexed_name","surname","given_name","gender","citation_count","cited_by_count","coauthor_count","author_doc_all","authorEC_doc_CS_2018","authorEC_COA_doc_CS_2018","author_doc_CS_all_2018","author_doc_CS_all","ratiosCSEC","hindex","yearIn","yearFin","careerLength","active","affiliation_current","affiliation_name","country_affil","org_type","affil_author_count","affil_document_count","category"
"9-s2.0-57200386218","Guerrero L.","Guerrero","Lucía","F",0,0,10,2,2,2,2,2,100,0,2018,2018,1,1,60104598,"Universidad de las Fuerzas Armadas ESPE","Ecuador","univ",1490,1654,"national"
"9-s2.0-57200398572","Gonzalo A.","Arián Aladro","Gonzalo","M",79,75,21,10,3,3,3,4,100,3,2012,2020,9,1,122712001,"Pontifical University Catholic of Ecuador","Ecuador",NULL,1,1,"national"
"9-s2.0-57200406982","Sánchez-Rosero C.","Sánchez-Rosero","Carlos","M",23,18,22,6,4,4,4,6,100,3,2015,2020,6,1,60106645,"Universidad Técnica de Ambato","Ecuador","univ",655,587,"national"
"9-s2.0-57200409369","Gomez Soriano J.","Gomez Soriano","José M.","M",7,7,4,2,0,1,2,2,0,1,2017,2017,1,1,60010844,"Universitat d'Alacant","Spain","univ",4799,24953,"external"
"9-s2.0-57200410856","Murillo J.","Murillo","Jorge R.","M",0,0,6,2,1,1,1,2,100,0,2017,2019,3,1,60014313,"University of Massachusetts Amherst","United States","univ",15779,86947,"national"
"9-s2.0-57200411183","Veriñaz H.","Veriñaz","Herman I.","M",1,1,2,2,2,2,3,3,67,1,2017,2018,2,1,60072061,"Escuela Superior Politecnica del Litoral Ecuador","Ecuador","resi",1054,1618,"national"
"9-s2.0-57200413171","Totoy G.","Totoy","Gustavo","M",0,0,5,2,1,1,1,2,100,0,2017,2019,3,1,60072061,"Escuela Superior Politecnica del Litoral Ecuador","Ecuador","resi",1054,1618,"national"
"9-s2.0-57200415274","Martinez Vera C.","Martinez Vera","Caril R.","M",7,5,4,2,2,2,2,2,100,2,2016,2017,2,1,60072061,"Escuela Superior Politecnica del Litoral Ecuador","Ecuador","resi",1054,1618,"national"
"9-s2.0-57200416540","Veriñaz H.","Veriñaz","Herman I.","M",1,1,2,2,1,1,NULL,NULL,NULL,1,2017,2018,2,1,60072061,"Escuela Superior Politecnica del Litoral Ecuador","Ecuador","resi",1054,1618,"national"
"9-s2.0-57200417716","Garcia C.","Garcia","Carlos A.","M",32,21,48,27,12,13,13,25,92,4,2017,2020,4,1,60106645,"Universidad Técnica de Ambato","Ecuador","univ",655,587,"national"
"9-s2.0-57200417897","Morales B.","Morales","Byron","M",7,7,5,1,1,1,1,1,100,1,2017,2017,1,1,60104598,"Universidad de las Fuerzas Armadas ESPE","Ecuador","univ",1490,1654,"national"
"9-s2.0-57200418231","Garcés R.","Garcés","Renato","M",0,0,2,1,1,1,1,1,100,0,2017,2017,1,1,60104441,"Universidad de las Americas - Ecuador","Ecuador","univ",387,662,"national"
"9-s2.0-57200420799","Vela E.","Vela","Edgar M.","M",5,4,11,6,3,3,3,5,100,1,2017,2019,3,1,60101870,"Scuola Universitaria Professionale della Svizzera Italiana","Switzerland","univ",374,1075,"national"
"9-s2.0-57200422041","Rosero-Beltrán J.","Rosero-Beltrán","Jorge","M",4,4,13,7,4,4,4,6,100,1,2017,2020,4,1,60104441,"Universidad de las Americas - Ecuador","Ecuador","univ",387,662,"national"
"9-s2.0-57200422320","Rodriguez Espinoza J.","Rodriguez Espinoza","Jessica","F",5,5,3,2,2,2,2,2,100,1,2017,2017,1,1,60072061,"Escuela Superior Politecnica del Litoral Ecuador","Ecuador","resi",1054,1618,"national"
"9-s2.0-57200504986","Jaramillo A.","Jaramillo","Andrés G.","M",41,31,11,4,4,4,4,4,100,2,2017,2018,2,1,60072054,"Escuela Politécnica Nacional","Ecuador","univ",1031,1861,"national"
"9-s2.0-57200506186","Zea J.","Zea","Jonathan A.","M",39,30,11,4,3,3,3,4,100,2,2017,2020,4,1,60072054,"Escuela Politécnica Nacional","Ecuador","univ",1031,1861,"national"
"9-s2.0-57200506612","Paéz A.","Paéz","Andrés","M",23,23,4,1,1,1,1,1,100,1,2017,2017,1,1,60072054,"Escuela Politécnica Nacional","Ecuador","univ",1031,1861,"national"
"9-s2.0-57200510975","Santana A.","Santana","Alex G.","M",2,2,13,2,1,1,1,2,100,1,2017,2019,3,1,60104598,"Universidad de las Fuerzas Armadas ESPE","Ecuador","univ",1490,1654,"national"
"9-s2.0-57200511539","Rivas-Lalaleo D.","Rivas-Lalaleo","David","M",140,111,119,40,27,27,27,30,100,7,2015,2019,5,1,60104598,"Universidad de las Fuerzas Armadas ESPE","Ecuador","univ",1490,1654,"national"
"9-s2.0-57200511589","Clotet G.","Clotet","G.","NA",1,1,8,1,0,1,1,1,0,1,2017,2017,1,1,112568558,"Castellón Universidad Católica de Valencia","Spain",NULL,1,3,"external"
"9-s2.0-57200512105","Tamayo W.","Tamayo","W.","NA",1,1,8,1,1,1,1,1,100,1,2017,2017,1,1,60104598,"Universidad de las Fuerzas Armadas ESPE","Ecuador","univ",1490,1654,"national"
"9-s2.0-57200523315","Guevara J.","Guevara","Javier","M",15,14,17,7,1,1,3,5,33,3,2016,2020,5,1,60007087,"Universidad Técnica Federico Santa María","Chile","univ",1802,7418,"national"
"9-s2.0-57200532110","Sato R.","Sato","Ryotaro","NA",13,13,4,1,0,1,1,1,0,1,2018,2018,1,1,60031225,"Kyoto Institute of Technology","Japan","univ",6694,20146,"external"
"9-s2.0-57200564134","Rodríguez R.","Rodríguez","Raquel Gil","F",2,2,6,4,0,1,4,4,0,1,2015,2018,4,1,60032942,"Universitat Pompeu Fabra Barcelona","Spain","univ",3339,18642,"external"
"9-s2.0-57200570407","Eyk E.","Eyk","Erwin Van","M",8,8,11,2,0,1,2,2,0,2,2017,2018,2,1,60006288,"Delft University of Technology","Netherlands","univ",16513,86767,"external"
"9-s2.0-57200607384","Restrepo F.","Restrepo","Felipe","M",1,1,6,2,0,1,2,2,0,1,2018,2018,1,1,60055696,"Universidad Nacional de Colombia","Colombia","univ",13629,28360,"external"
"9-s2.0-57200632263","Aller J.","Aller","José María","M",1477,1245,61,91,7,8,13,13,54,18,1995,2018,24,1,60105693,"Universidad Politécnica Salesiana, Cuenca","Ecuador","univ",727,829,"national"
"9-s2.0-57200676042","Mafla E.","Mafla","Enrique","M",2,2,10,7,1,1,1,1,100,1,2017,2018,2,1,60072054,"Escuela Politécnica Nacional","Ecuador","univ",1031,1861,"national"
"9-s2.0-57200695801","Ochoa S.","Ochoa","Santiago","M",7,7,7,2,1,1,1,1,100,2,2018,2018,1,1,60072064,"Universidad Tecnica Particular de Loja","Ecuador","univ",983,1450,"national"
"9-s2.0-57200720721","Vargas Ramos M.","Vargas Ramos","María","F",0,0,6,1,1,1,1,1,100,0,2018,2018,1,1,60106645,"Universidad Técnica de Ambato","Ecuador","univ",655,587,"national"
"9-s2.0-57200721161","Núñez Hernández C.","Núñez Hernández","Corina","F",0,0,6,1,1,1,1,1,100,0,2018,2018,1,1,60106645,"Universidad Técnica de Ambato","Ecuador","univ",655,587,"national"
"9-s2.0-57200721551","Morales J.","Morales","José R.","M",1,1,5,2,1,1,1,1,100,1,2018,2019,2,1,60072042,"Universidad de Guayaquil","Ecuador","univ",942,821,"national"
"9-s2.0-57200724431","Amores Guevara P.","Amores Guevara","Patricia Del Roció","F",4,4,11,2,1,1,1,1,100,1,2017,2018,2,1,60106645,"Universidad Técnica de Ambato","Ecuador","univ",655,587,"national"
"9-s2.0-57200724809","Vega Pérez J.","Vega Pérez","José","M",0,0,6,1,1,1,1,1,100,0,2018,2018,1,1,60106645,"Universidad Técnica de Ambato","Ecuador","univ",655,587,"national"
"9-s2.0-57200731015","Mera Constante M.","Mera Constante","Medardo","M",0,0,6,1,1,1,1,1,100,0,2018,2018,1,1,60106645,"Universidad Técnica de Ambato","Ecuador","univ",655,587,"national"
"9-s2.0-57200732905","Plaza-Guingla D.","Plaza-Guingla","Douglas","M",0,0,3,1,0,1,1,1,0,0,2017,2017,1,1,120211074,"Plaza-Guingla","Belgium",NULL,2,1,"external"
"9-s2.0-57200738020","De Rose R.","De Rose","Raffaele","M",319,188,59,44,0,1,16,22,0,12,2010,2020,11,1,60020261,"Università della Calabria","Italy","univ",3719,28267,"external"
"9-s2.0-57200751544","Beltrán C.","Beltrán","Carmen","F",12,12,14,5,4,4,4,4,100,2,2017,2018,2,1,60106645,"Universidad Técnica de Ambato","Ecuador","univ",655,587,"national"
"9-s2.0-57200769815","Duque M.","Duque","Mauricio","M",0,0,8,5,1,1,1,1,100,0,2016,2016,1,0,60072054,"Escuela Politécnica Nacional","Ecuador","univ",1031,1861,"national"
"9-s2.0-57200786791","Alvarez J.","Alvarez","Jorge","M",0,0,13,4,3,3,3,3,100,0,2016,2019,4,1,60104598,"Universidad de las Fuerzas Armadas ESPE","Ecuador","univ",1490,1654,"national"
"9-s2.0-57200847654","Luna V.","Luna","V.","NA",2,2,8,1,1,1,1,1,100,1,2017,2017,1,1,60104598,"Universidad de las Fuerzas Armadas ESPE","Ecuador","univ",1490,1654,"national"
"9-s2.0-57200855181","Liu D.","Liu","Donfeng","M",2,2,3,1,1,1,1,1,100,1,2017,2017,1,1,60007155,"Guangdong University of Technology","China","univ",10753,20542,"national"
"9-s2.0-57200868211","Orozco J.","Orozco","Jaime","M",2,2,6,1,1,1,1,1,100,1,2018,2018,1,1,60105694,"Universidad Estatal Península de Santa Elena","Ecuador","univ",189,202,"national"
